sess_num;sess_type;n_trials;seq_keys;seq_type;sequence_string;seq_train;seq_color;seq_permutation;seq_order;paced;instruct
1;training;15;1 2 3 4;type1;1 4 - 2 3 4 - 1 3 - 1 2 4 - 2 3;trained;#3cb44b;[0, 2, 1];0;0;1
1;training;15;1 2 3 4;type1;4 - 1 3 - 2 - 3 4 - 1 2 4;trained;#ffe119;[0, 2, 1];2;0;0
1;training;15;1 2 3 4;type1;1 4 - 2 - 1 3 - 4 - 2 3;trained;#111111;[0, 2, 1];1;0;0
1;training;5;1 2 3 4;type1;1 4 - 2 3 4 - 1 3 - 1 2 4 - 2 3;trained;#3cb44b;[0, 2, 1];0;1;1
1;training;5;1 2 3 4;type1;4 - 1 3 - 2 - 3 4 - 1 2 4;trained;#ffe119;[0, 2, 1];2;1;0
1;training;5;1 2 3 4;type1;1 4 - 2 - 1 3 - 4 - 2 3;trained;#111111;[0, 2, 1];1;1;0
2;training;15;1 2 3 4;type1;1 4 - 2 - 1 3 - 4 - 2 3;trained;#111111;[1, 0, 2];1;0;1
2;training;15;1 2 3 4;type1;1 4 - 2 3 4 - 1 3 - 1 2 4 - 2 3;trained;#3cb44b;[1, 0, 2];0;0;0
2;training;15;1 2 3 4;type1;4 - 1 3 - 2 - 3 4 - 1 2 4;trained;#ffe119;[1, 0, 2];2;0;0
2;training;5;1 2 3 4;type1;1 4 - 2 - 1 3 - 4 - 2 3;trained;#111111;[1, 0, 2];1;1;1
2;training;5;1 2 3 4;type1;1 4 - 2 3 4 - 1 3 - 1 2 4 - 2 3;trained;#3cb44b;[1, 0, 2];0;1;0
2;training;5;1 2 3 4;type1;4 - 1 3 - 2 - 3 4 - 1 2 4;trained;#ffe119;[1, 0, 2];2;1;0
3;training;15;1 2 3 4;type1;1 4 - 2 - 1 3 - 4 - 2 3;trained;#111111;[1, 2, 0];1;0;1
3;training;15;1 2 3 4;type1;4 - 1 3 - 2 - 3 4 - 1 2 4;trained;#ffe119;[1, 2, 0];2;0;0
3;training;15;1 2 3 4;type1;1 4 - 2 3 4 - 1 3 - 1 2 4 - 2 3;trained;#3cb44b;[1, 2, 0];0;0;0
3;training;5;1 2 3 4;type1;1 4 - 2 - 1 3 - 4 - 2 3;trained;#111111;[1, 2, 0];1;1;1
3;training;5;1 2 3 4;type1;4 - 1 3 - 2 - 3 4 - 1 2 4;trained;#ffe119;[1, 2, 0];2;1;0
3;training;5;1 2 3 4;type1;1 4 - 2 3 4 - 1 3 - 1 2 4 - 2 3;trained;#3cb44b;[1, 2, 0];0;1;0
4;training;15;1 2 3 4;type1;4 - 1 3 - 2 - 3 4 - 1 2 4;trained;#ffe119;[2, 0, 1];2;0;1
4;training;15;1 2 3 4;type1;1 4 - 2 3 4 - 1 3 - 1 2 4 - 2 3;trained;#3cb44b;[2, 0, 1];0;0;0
4;training;15;1 2 3 4;type1;1 4 - 2 - 1 3 - 4 - 2 3;trained;#111111;[2, 0, 1];1;0;0
4;training;5;1 2 3 4;type1;4 - 1 3 - 2 - 3 4 - 1 2 4;trained;#ffe119;[2, 0, 1];2;1;1
4;training;5;1 2 3 4;type1;1 4 - 2 3 4 - 1 3 - 1 2 4 - 2 3;trained;#3cb44b;[2, 0, 1];0;1;0
4;training;5;1 2 3 4;type1;1 4 - 2 - 1 3 - 4 - 2 3;trained;#111111;[2, 0, 1];1;1;0
5;training;15;1 2 3 4;type1;4 - 1 3 - 2 - 3 4 - 1 2 4;trained;#ffe119;[2, 1, 0];2;0;1
