sess_num;sess_type;n_trials;seq_keys;seq_type;sequence_string;seq_train;seq_color;seq_permutation;seq_order;paced;instruct;run
1;testing;20;1 2 3 4;type1;1 2 3 - 2 4 - 1 - 3 4 - 1 2 4;trained;#ffe119;[1, 0];1;0;1;1
1;testing;20;1 2 3 4;type1;2 3 4 - 1 4 - 3 - 1 2 - 1 3 4;untrained;#46f0f0;[1, 0];3;0;0;1
1;testing;20;1 2 3 4;type1;1 2 3 - 3 4 - 1 - 2 4 - 1 3 4;trained;#111111;[1, 0];0;0;0;1
1;testing;20;1 2 3 4;type1;1 3 4 - 2 3 - 4 - 1 2 - 3;untrained;#f58231;[1, 0];2;0;0;1
1;fmri;7;1 2 3 4;type1;1 2 3 - 3 4 - 1 - 2 4 - 1 3 4;trained;#111111;[0, 1];0;1;1;1
1;fmri;7;1 2 3 4;type1;1 3 4 - 2 3 - 4 - 1 2 - 3;untrained;#f58231;[0, 1];2;1;0;1
1;fmri;7;1 2 3 4;type1;1 2 3 - 2 4 - 1 - 3 4 - 1 2 4;trained;#ffe119;[0, 1];1;1;0;1
1;fmri;7;1 2 3 4;type1;2 3 4 - 1 4 - 3 - 1 2 - 1 3 4;untrained;#46f0f0;[0, 1];3;1;0;1
1;fmri;7;1 2 3 4;type1;1 3 4 - 2 3 - 4 - 1 2 - 3;untrained;#f58231;[1, 0];2;1;1;2
1;fmri;7;1 2 3 4;type1;1 2 3 - 2 4 - 1 - 3 4 - 1 2 4;trained;#ffe119;[1, 0];1;1;0;2
1;fmri;7;1 2 3 4;type1;2 3 4 - 1 4 - 3 - 1 2 - 1 3 4;untrained;#46f0f0;[1, 0];3;1;0;2
1;fmri;7;1 2 3 4;type1;1 2 3 - 3 4 - 1 - 2 4 - 1 3 4;trained;#111111;[1, 0];0;1;0;2
1;fmri;7;1 2 3 4;type1;1 2 3 - 3 4 - 1 - 2 4 - 1 3 4;trained;#111111;[0, 1];0;1;1;3
1;fmri;7;1 2 3 4;type1;1 3 4 - 2 3 - 4 - 1 2 - 3;untrained;#f58231;[0, 1];2;1;0;3
1;fmri;7;1 2 3 4;type1;1 2 3 - 2 4 - 1 - 3 4 - 1 2 4;trained;#ffe119;[0, 1];1;1;0;3
1;fmri;7;1 2 3 4;type1;2 3 4 - 1 4 - 3 - 1 2 - 1 3 4;untrained;#46f0f0;[0, 1];3;1;0;3
1;fmri;7;1 2 3 4;type1;1 3 4 - 2 3 - 4 - 1 2 - 3;untrained;#f58231;[1, 0];2;1;1;4
1;fmri;7;1 2 3 4;type1;1 2 3 - 2 4 - 1 - 3 4 - 1 2 4;trained;#ffe119;[1, 0];1;1;0;4
1;fmri;7;1 2 3 4;type1;2 3 4 - 1 4 - 3 - 1 2 - 1 3 4;untrained;#46f0f0;[1, 0];3;1;0;4
1;fmri;7;1 2 3 4;type1;1 2 3 - 3 4 - 1 - 2 4 - 1 3 4;trained;#111111;[1, 0];0;1;0;4
