SUBJECT;SCHEDULE_FILE;FMRI_SCHEDULE_FILE;CONFIGURATION;SCHEDULE_GROUP
lue4101;lue1schedule_g1_c2_s0;lue1schedule_g1_c2_s0_fmri;2;0
lue4102;lue1schedule_g1_c1_s1;lue1schedule_g1_c1_s1_fmri;1;1
lue4103;lue1schedule_g1_c2_s2;lue1schedule_g1_c2_s2_fmri;2;2
lue4104;lue1schedule_g1_c1_s3;lue1schedule_g1_c1_s3_fmri;1;3
lue4105;lue1schedule_g1_c2_s4;lue1schedule_g1_c2_s4_fmri;2;4
lue4106;lue1schedule_g1_c1_s5;lue1schedule_g1_c1_s5_fmri;1;5
lue4107;lue1schedule_g1_c2_s6;lue1schedule_g1_c2_s6_fmri;2;6
lue4108;lue1schedule_g1_c1_s7;lue1schedule_g1_c1_s7_fmri;1;7
lue4109;lue1schedule_g1_c2_s8;lue1schedule_g1_c2_s8_fmri;2;8
lue4110;lue1schedule_g1_c1_s9;lue1schedule_g1_c1_s9_fmri;1;9
lue4111;lue1schedule_g1_c2_s0;lue1schedule_g1_c2_s0_fmri;2;0
lue4112;lue1schedule_g1_c1_s1;lue1schedule_g1_c1_s1_fmri;1;1
lue4113;lue1schedule_g1_c2_s2;lue1schedule_g1_c2_s2_fmri;2;2
lue4114;lue1schedule_g1_c1_s3;lue1schedule_g1_c1_s3_fmri;1;3
lue4115;lue1schedule_g1_c2_s4;lue1schedule_g1_c2_s4_fmri;2;4
lue4116;lue1schedule_g1_c1_s5;lue1schedule_g1_c1_s5_fmri;1;5
lue4117;lue1schedule_g1_c2_s6;lue1schedule_g1_c2_s6_fmri;2;6
lue4118;lue1schedule_g1_c1_s7;lue1schedule_g1_c1_s7_fmri;1;7
lue4119;lue1schedule_g1_c2_s8;lue1schedule_g1_c2_s8_fmri;2;8
lue4120;lue1schedule_g1_c1_s9;lue1schedule_g1_c1_s9_fmri;1;9
lue4201;lue1schedule_g2_c2_s0;lue1schedule_g2_c2_s0_fmri;2;0
lue4202;lue1schedule_g2_c1_s1;lue1schedule_g2_c1_s1_fmri;1;1
lue4203;lue1schedule_g2_c2_s2;lue1schedule_g2_c2_s2_fmri;2;2
lue4204;lue1schedule_g2_c1_s3;lue1schedule_g2_c1_s3_fmri;1;3
lue4205;lue1schedule_g2_c2_s4;lue1schedule_g2_c2_s4_fmri;2;4
lue4206;lue1schedule_g2_c1_s5;lue1schedule_g2_c1_s5_fmri;1;5
lue4207;lue1schedule_g2_c2_s6;lue1schedule_g2_c2_s6_fmri;2;6
lue4208;lue1schedule_g2_c1_s7;lue1schedule_g2_c1_s7_fmri;1;7
lue4209;lue1schedule_g2_c2_s8;lue1schedule_g2_c2_s8_fmri;2;8
lue4210;lue1schedule_g2_c1_s9;lue1schedule_g2_c1_s9_fmri;1;9
lue4211;lue1schedule_g2_c2_s0;lue1schedule_g2_c2_s0_fmri;2;0
lue4212;lue1schedule_g2_c1_s1;lue1schedule_g2_c1_s1_fmri;1;1
lue4213;lue1schedule_g2_c2_s2;lue1schedule_g2_c2_s2_fmri;2;2
lue4214;lue1schedule_g2_c1_s3;lue1schedule_g2_c1_s3_fmri;1;3
lue4215;lue1schedule_g2_c2_s4;lue1schedule_g2_c2_s4_fmri;2;4
lue4216;lue1schedule_g2_c1_s5;lue1schedule_g2_c1_s5_fmri;1;5
lue4217;lue1schedule_g2_c2_s6;lue1schedule_g2_c2_s6_fmri;2;6
lue4218;lue1schedule_g2_c1_s7;lue1schedule_g2_c1_s7_fmri;1;7
lue4219;lue1schedule_g2_c2_s8;lue1schedule_g2_c2_s8_fmri;2;8
lue4220;lue1schedule_g2_c1_s9;lue1schedule_g2_c1_s9_fmri;1;9
luetest1;lue1schedule_g1_c2_s0;lue1schedule_g1_c2_s0_fmri;2;0
luetest2;lue1schedule_g1_c1_s1;lue1schedule_g1_c1_s1_fmri;1;1
luetest3;lue1schedule_g2_c2_s2;lue1schedule_g2_c2_s2_fmri;2;2
luetest4;lue1schedule_g2_c1_s3;lue1schedule_g2_c1_s3_fmri;1;3
