SUBJECT;SCHEDULE_FILE;FMRI_SCHEDULE_FILE;CONFIGURATION;SCHEDULE_GROUP
lue5101;lue1schedule_g1_c1_s0;lue1schedule_g1_c1_s0_fmri;1;0
lue5102;lue1schedule_g1_c2_s1;lue1schedule_g1_c2_s1_fmri;2;1
lue5103;lue1schedule_g1_c1_s2;lue1schedule_g1_c1_s2_fmri;1;2
lue5104;lue1schedule_g1_c2_s3;lue1schedule_g1_c2_s3_fmri;2;3
lue5105;lue1schedule_g1_c1_s4;lue1schedule_g1_c1_s4_fmri;1;4
lue5106;lue1schedule_g1_c2_s5;lue1schedule_g1_c2_s5_fmri;2;5
lue5107;lue1schedule_g1_c1_s6;lue1schedule_g1_c1_s6_fmri;1;6
lue5108;lue1schedule_g1_c2_s7;lue1schedule_g1_c2_s7_fmri;2;7
lue5109;lue1schedule_g1_c1_s8;lue1schedule_g1_c1_s8_fmri;1;8
lue5110;lue1schedule_g1_c2_s9;lue1schedule_g1_c2_s9_fmri;2;9
lue5111;lue1schedule_g1_c1_s0;lue1schedule_g1_c1_s0_fmri;1;0
lue5112;lue1schedule_g1_c2_s1;lue1schedule_g1_c2_s1_fmri;2;1
lue5113;lue1schedule_g1_c1_s2;lue1schedule_g1_c1_s2_fmri;1;2
lue5114;lue1schedule_g1_c2_s3;lue1schedule_g1_c2_s3_fmri;2;3
lue5115;lue1schedule_g1_c1_s4;lue1schedule_g1_c1_s4_fmri;1;4
lue5116;lue1schedule_g1_c2_s5;lue1schedule_g1_c2_s5_fmri;2;5
lue5117;lue1schedule_g1_c1_s6;lue1schedule_g1_c1_s6_fmri;1;6
lue5118;lue1schedule_g1_c2_s7;lue1schedule_g1_c2_s7_fmri;2;7
lue5119;lue1schedule_g1_c1_s8;lue1schedule_g1_c1_s8_fmri;1;8
lue5120;lue1schedule_g1_c2_s9;lue1schedule_g1_c2_s9_fmri;2;9
lue5201;lue1schedule_g2_c1_s0;lue1schedule_g2_c1_s0_fmri;1;0
lue5202;lue1schedule_g2_c2_s1;lue1schedule_g2_c2_s1_fmri;2;1
lue5203;lue1schedule_g2_c1_s2;lue1schedule_g2_c1_s2_fmri;1;2
lue5204;lue1schedule_g2_c2_s3;lue1schedule_g2_c2_s3_fmri;2;3
lue5205;lue1schedule_g2_c1_s4;lue1schedule_g2_c1_s4_fmri;1;4
lue5206;lue1schedule_g2_c2_s5;lue1schedule_g2_c2_s5_fmri;2;5
lue5207;lue1schedule_g2_c1_s6;lue1schedule_g2_c1_s6_fmri;1;6
lue5208;lue1schedule_g2_c2_s7;lue1schedule_g2_c2_s7_fmri;2;7
lue5209;lue1schedule_g2_c1_s8;lue1schedule_g2_c1_s8_fmri;1;8
lue5210;lue1schedule_g2_c2_s9;lue1schedule_g2_c2_s9_fmri;2;9
lue5211;lue1schedule_g2_c1_s0;lue1schedule_g2_c1_s0_fmri;1;0
lue5212;lue1schedule_g2_c2_s1;lue1schedule_g2_c2_s1_fmri;2;1
lue5213;lue1schedule_g2_c1_s2;lue1schedule_g2_c1_s2_fmri;1;2
lue5214;lue1schedule_g2_c2_s3;lue1schedule_g2_c2_s3_fmri;2;3
lue5215;lue1schedule_g2_c1_s4;lue1schedule_g2_c1_s4_fmri;1;4
lue5216;lue1schedule_g2_c2_s5;lue1schedule_g2_c2_s5_fmri;2;5
lue5217;lue1schedule_g2_c1_s6;lue1schedule_g2_c1_s6_fmri;1;6
lue5218;lue1schedule_g2_c2_s7;lue1schedule_g2_c2_s7_fmri;2;7
lue5219;lue1schedule_g2_c1_s8;lue1schedule_g2_c1_s8_fmri;1;8
lue5220;lue1schedule_g2_c2_s9;lue1schedule_g2_c2_s9_fmri;2;9
luetest1;lue1schedule_g1_c1_s0;lue1schedule_g1_c1_s0_fmri;1;0
luetest2;lue1schedule_g1_c2_s1;lue1schedule_g1_c2_s1_fmri;2;1
luetest3;lue1schedule_g2_c1_s2;lue1schedule_g2_c1_s2_fmri;1;2
luetest4;lue1schedule_g2_c2_s3;lue1schedule_g2_c2_s3_fmri;2;3
