SUBJECT;SCHEDULE_FILE;FMRI_SCHEDULE_FILE;CONFIGURATION;SCHEDULE_GROUP
lue1101;lue1schedule_g1_c1_s0;lue1schedule_g1_c1_s0_fmri;1;0
lue1102;lue1schedule_g1_c2_s1;lue1schedule_g1_c2_s1_fmri;2;1
lue1103;lue1schedule_g1_c1_s2;lue1schedule_g1_c1_s2_fmri;1;2
lue1104;lue1schedule_g1_c2_s3;lue1schedule_g1_c2_s3_fmri;2;3
lue1105;lue1schedule_g1_c1_s4;lue1schedule_g1_c1_s4_fmri;1;4
lue1106;lue1schedule_g1_c2_s5;lue1schedule_g1_c2_s5_fmri;2;5
lue1107;lue1schedule_g1_c1_s6;lue1schedule_g1_c1_s6_fmri;1;6
lue1108;lue1schedule_g1_c2_s7;lue1schedule_g1_c2_s7_fmri;2;7
lue1109;lue1schedule_g1_c1_s8;lue1schedule_g1_c1_s8_fmri;1;8
lue1110;lue1schedule_g1_c2_s9;lue1schedule_g1_c2_s9_fmri;2;9
lue1111;lue1schedule_g1_c1_s0;lue1schedule_g1_c1_s0_fmri;1;0
lue1112;lue1schedule_g1_c2_s1;lue1schedule_g1_c2_s1_fmri;2;1
lue1113;lue1schedule_g1_c1_s2;lue1schedule_g1_c1_s2_fmri;1;2
lue1114;lue1schedule_g1_c2_s3;lue1schedule_g1_c2_s3_fmri;2;3
lue1115;lue1schedule_g1_c1_s4;lue1schedule_g1_c1_s4_fmri;1;4
lue1116;lue1schedule_g1_c2_s5;lue1schedule_g1_c2_s5_fmri;2;5
lue1117;lue1schedule_g1_c1_s6;lue1schedule_g1_c1_s6_fmri;1;6
lue1118;lue1schedule_g1_c2_s7;lue1schedule_g1_c2_s7_fmri;2;7
lue1119;lue1schedule_g1_c1_s8;lue1schedule_g1_c1_s8_fmri;1;8
lue1120;lue1schedule_g1_c2_s9;lue1schedule_g1_c2_s9_fmri;2;9
lue1201;lue1schedule_g2_c1_s0;lue1schedule_g2_c1_s0_fmri;1;0
lue1202;lue1schedule_g2_c2_s1;lue1schedule_g2_c2_s1_fmri;2;1
lue1203;lue1schedule_g2_c1_s2;lue1schedule_g2_c1_s2_fmri;1;2
lue1204;lue1schedule_g2_c2_s3;lue1schedule_g2_c2_s3_fmri;2;3
lue1205;lue1schedule_g2_c1_s4;lue1schedule_g2_c1_s4_fmri;1;4
lue1206;lue1schedule_g2_c2_s5;lue1schedule_g2_c2_s5_fmri;2;5
lue1207;lue1schedule_g2_c1_s6;lue1schedule_g2_c1_s6_fmri;1;6
lue1208;lue1schedule_g2_c2_s7;lue1schedule_g2_c2_s7_fmri;2;7
lue1209;lue1schedule_g2_c1_s8;lue1schedule_g2_c1_s8_fmri;1;8
lue1210;lue1schedule_g2_c2_s9;lue1schedule_g2_c2_s9_fmri;2;9
lue1211;lue1schedule_g2_c1_s0;lue1schedule_g2_c1_s0_fmri;1;0
lue1212;lue1schedule_g2_c2_s1;lue1schedule_g2_c2_s1_fmri;2;1
lue1213;lue1schedule_g2_c1_s2;lue1schedule_g2_c1_s2_fmri;1;2
lue1214;lue1schedule_g2_c2_s3;lue1schedule_g2_c2_s3_fmri;2;3
lue1215;lue1schedule_g2_c1_s4;lue1schedule_g2_c1_s4_fmri;1;4
lue1216;lue1schedule_g2_c2_s5;lue1schedule_g2_c2_s5_fmri;2;5
lue1217;lue1schedule_g2_c1_s6;lue1schedule_g2_c1_s6_fmri;1;6
lue1218;lue1schedule_g2_c2_s7;lue1schedule_g2_c2_s7_fmri;2;7
lue1219;lue1schedule_g2_c1_s8;lue1schedule_g2_c1_s8_fmri;1;8
lue1220;lue1schedule_g2_c2_s9;lue1schedule_g2_c2_s9_fmri;2;9
luetest1;lue1schedule_g1_c1_s0;lue1schedule_g1_c1_s0_fmri;1;0
luetest2;lue1schedule_g1_c2_s1;lue1schedule_g1_c2_s1_fmri;2;1
luetest3;lue1schedule_g2_c1_s2;lue1schedule_g2_c1_s2_fmri;1;2
luetest4;lue1schedule_g2_c2_s3;lue1schedule_g2_c2_s3_fmri;2;3
